Fish,Bone,Direction,Period,PML,Site
マダイ,椎骨,中,1期,NA,とある貝塚
クロダイ属,前上顎骨,左,1期,NA,とある貝塚
コイ科,主鰓蓋骨,右,1期,NA,とある貝塚
サケ属,椎骨,中,1期,NA,とある貝塚
サケ属,椎骨,中,1期,NA,とある貝塚
サメ類,椎骨,中,1期,NA,とある貝塚
クロダイ属,前上顎骨,右,1期,NA,とある貝塚
クロダイ属,前上顎骨,右,1期,NA,とある貝塚
クロダイ属,歯骨,左,1期,NA,とある貝塚
タイ科,前上顎骨,不明,1期,NA,とある貝塚
エイ・サメ類,椎骨,中,1期,NA,とある貝塚
サケ属,椎骨,中,1期,NA,とある貝塚
タイ科,前上顎骨/歯骨,不明,3期,NA,とある貝塚
クロダイ属,前上顎骨,右,2期,NA,とある貝塚
クロダイ属,前上顎骨,右,2期,NA,とある貝塚
クロダイ属,歯骨,右,2期,NA,とある貝塚
クロダイ属,歯骨,右,2期,NA,とある貝塚
マダイ,前上顎骨,右,2期,NA,とある貝塚
タイ科,前上顎骨,右,2期,NA,とある貝塚
スズキ属,主鰓蓋骨,不明,2期,NA,とある貝塚
クロダイ属,歯骨,左,2期,NA,とある貝塚
クロダイ属,歯骨,左,2期,NA,とある貝塚
クロダイ属,歯骨,左,2期,NA,とある貝塚
クロダイ属,歯骨,左,2期,NA,とある貝塚
クロダイ属,角骨,左,2期,NA,とある貝塚
マダイ,前上顎骨,左,2期,29,とある貝塚
クロダイ属,前上顎骨,左,2期,NA,とある貝塚
クロダイ属,前上顎骨,左,2期,NA,とある貝塚
スズキ属,前上顎骨,左,2期,NA,とある貝塚
タイ科,前上顎骨,左,2期,NA,とある貝塚
フグ科,方骨,左,2期,NA,とある貝塚
フナ属,主鰓蓋骨,左,2期,NA,とある貝塚
エイ・サメ類,椎骨,中,2期,NA,とある貝塚
エイ・サメ類,椎骨,中,2期,NA,とある貝塚
コイ科,椎骨,中,2期,NA,とある貝塚
コイ科,椎骨,中,2期,NA,とある貝塚
コイ科,椎骨,中,2期,NA,とある貝塚
コイ科,椎骨,中,2期,NA,とある貝塚
コイ科,椎骨,中,2期,NA,とある貝塚
タイ科,椎骨,中,2期,NA,とある貝塚
マダイ,上後頭骨,中,2期,NA,とある貝塚
マダイ,椎骨,中,2期,NA,とある貝塚
マダイ,前上顎骨,右,1期,NA,とある貝塚
コイ科,鰓蓋骨,不明,1期,NA,とある貝塚
タイ科,主鰓蓋骨,左,1期,NA,とある貝塚
サケ属,椎骨,中,1期,NA,とある貝塚
サバ属,椎骨,中,1期,NA,とある貝塚
マダイ,歯骨,左,1期,NA,とある貝塚
サメ類,椎骨,中,1期,NA,とある貝塚
エイ・サメ類,椎骨,中,3期,NA,とある貝塚
サメ類,椎骨,中,3期,NA,とある貝塚
クロダイ属,前上顎骨,左,1期,NA,とある貝塚
タイ科,前上顎骨,左,1期,NA,とある貝塚
クロダイ属,前上顎骨,右,1期,NA,とある貝塚
クロダイ属,前上顎骨,右,1期,NA,とある貝塚
クロダイ属,歯骨,右,1期,NA,とある貝塚
クロダイ属,歯骨,左,1期,NA,とある貝塚
クロダイ属,角骨,左,1期,NA,とある貝塚
クロダイ属,前上顎骨,左,1期,NA,とある貝塚
タイ科,歯骨,左,1期,NA,とある貝塚
エイ・サメ類,椎骨,中,1期,NA,とある貝塚
コイ科,椎骨,中,1期,NA,とある貝塚
コチ科,椎骨,中,1期,NA,とある貝塚
サケ属,椎骨,中,1期,NA,とある貝塚
サケ属,椎骨,中,1期,NA,とある貝塚
サケ属,椎骨,中,1期,NA,とある貝塚
サメ類,椎骨,中,1期,NA,とある貝塚
サメ類,遊離歯,不明,1期,NA,とある貝塚
クロダイ属,椎骨,中,1期,NA,とある貝塚
サメ類,椎骨,中,1期,NA,とある貝塚
クロダイ属,前上顎骨,右,1期,NA,とある貝塚
クロダイ属,前上顎骨,右,1期,NA,とある貝塚
クロダイ属,前上顎骨,右,1期,NA,とある貝塚
コチ科,前鰓蓋骨,右,1期,NA,とある貝塚
クロダイ属,前上顎骨,左,1期,NA,とある貝塚
クロダイ属,前上顎骨,左,1期,NA,とある貝塚
クロダイ属,前上顎骨,左,1期,NA,とある貝塚
スズキ属,歯骨,左,1期,NA,とある貝塚
フグ科,前上顎骨,左,1期,NA,とある貝塚
フグ科,歯骨,左,1期,NA,とある貝塚
フグ科,歯骨,左,1期,NA,とある貝塚
フグ科,歯骨,左,1期,NA,とある貝塚
エイ・サメ類,椎骨,中,1期,NA,とある貝塚
エイ・サメ類,椎骨,中,1期,NA,とある貝塚
エイ・サメ類,椎骨,中,1期,NA,とある貝塚
エイ・サメ類,椎骨,中,1期,NA,とある貝塚
クロダイ属,椎骨,中,1期,NA,とある貝塚
サケ属,椎骨,中,1期,NA,とある貝塚
サケ属,椎骨,中,1期,NA,とある貝塚
サメ類,椎骨,中,1期,NA,とある貝塚
サメ類,椎骨,中,1期,NA,とある貝塚
タイ科,椎骨,中,1期,NA,とある貝塚
タイ科,椎骨,中,1期,NA,とある貝塚
マダイ,椎骨,中,1期,NA,とある貝塚
マダイ,前頭骨,中,1期,NA,とある貝塚
クロダイ属,前上顎骨,右,1期,NA,とある貝塚
クロダイ属,前上顎骨,右,1期,NA,とある貝塚
サメ類,遊離歯,不明,1期,NA,とある貝塚
サメ類,遊離歯,不明,1期,NA,とある貝塚
クロダイ属,前上顎骨,左,1期,20.6,とある貝塚
クロダイ属,前上顎骨,左,1期,NA,とある貝塚
エイ・サメ類,椎骨,中,1期,NA,とある貝塚
エイ・サメ類,椎骨,中,1期,NA,とある貝塚
サケ属,椎骨,中,1期,NA,とある貝塚
サケ属,椎骨,中,1期,NA,とある貝塚
サケ属,椎骨,中,1期,NA,とある貝塚
サケ属,椎骨,中,1期,NA,とある貝塚
サケ属,椎骨,中,1期,NA,とある貝塚
サメ類,椎骨,中,1期,NA,とある貝塚
タイ科,基後頭骨,中,1期,NA,とある貝塚
クロダイ属,前上顎骨,右,1期,NA,とある貝塚
クロダイ属,歯骨,右,1期,NA,とある貝塚
スズキ属,前上顎骨,右,1期,NA,とある貝塚
タイ科,前上顎骨,右,1期,NA,とある貝塚
サメ類,遊離歯,不明,1期,NA,とある貝塚
サメ類,遊離歯,不明,1期,NA,とある貝塚
エイ・サメ類,椎骨,中,1期,NA,とある貝塚
エイ・サメ類,椎骨,中,1期,NA,とある貝塚
エイ・サメ類,椎骨,中,1期,NA,とある貝塚
サケ属,椎骨,中,1期,NA,とある貝塚
サケ属,椎骨,中,1期,NA,とある貝塚
サケ属,椎骨,中,1期,NA,とある貝塚
サケ属,椎骨,中,1期,NA,とある貝塚
サケ属,椎骨,中,1期,NA,とある貝塚
サケ属,椎骨,中,1期,NA,とある貝塚
サケ属,椎骨,中,1期,NA,とある貝塚
サケ属,椎骨,中,1期,NA,とある貝塚
サメ類,椎骨,中,1期,NA,とある貝塚
サメ類,椎骨,中,1期,NA,とある貝塚
サメ類,椎骨,中,1期,NA,とある貝塚
